iter	RMSE
729	79690.20757
730	79653.07143
731	79634.11528
732	79610.34407
733	79551.39818
734	79525.22984
735	79486.47997
736	79455.72515
737	79416.23753
738	79398.58637
739	79338.28359
740	79286.84145
741	79285.91791
742	79248.42408
743	79230.68503
744	79171.1279
745	79144.28354
746	79138.81829
747	79100.02907
748	79071.18573
749	79047.74921
750	78996.76728
751	78952.75019
752	78947.65353
753	78923.37455
754	78886.81625
755	78859.50549
756	78837.40206
757	78798.67253
758	78779.27108
759	78740.60342
760	78692.22
761	78653.45388
762	78606.7048
763	78586.88929
764	78582.75262
765	78557.93127
766	78549.79954
767	78548.96458
768	78519.09834
769	78496.60532
770	78455.45648
771	78451.20026
772	78439.63586
773	78420.7121
774	78404.38137
775	78352.52374
776	78319.20421
777	78283.12862
778	78271.89429
779	78249.07489
780	78217.59855
781	78197.42586
782	78182.77132
783	78164.91612
784	78143.45693
785	78111.31587
786	78065.83208
787	78059.13127
788	78043.69635
789	78029.11839
790	77991.82409
791	77970.48121
792	77916.71994
793	77914.16439
794	77909.56052
795	77854.11382
796	77812.76181
797	77803.75637
798	77801.70822
799	77781.53832
800	77760.19044
801	77705.45386
802	77691.05838
803	77644.54149
804	77620.21302
805	77619.46883
806	77599.05389
807	77559.41682
808	77525.55687
809	77496.13809
810	77479.32128
811	77451.21089
812	77404.75001
813	77371.58094
814	77322.82293
815	77303.75752
816	77270.5873
817	77257.86318
818	77226.93621
819	77205.64197
820	77179.50954
821	77171.5099
822	77133.51725
823	77132.77742
824	77118.16552
825	77102.02107
826	77082.91743
827	77027.88023
828	77014.29685
829	77009.64822
830	76984.00939
831	76976.75452
832	76913.18845
833	76866.13191
834	76853.36173
835	76850.33174
836	76832.76951
837	76810.79664
838	76803.952
839	76760.31941
840	76751.265
841	76727.02165
842	76716.46287
843	76682.01707
844	76661.08321
845	76623.77411
846	76586.42147
847	76568.94551
848	76546.08113
849	76516.87612
850	76496.62592
851	76478.33488
852	76428.07885
853	76407.95074
854	76393.96265
855	76390.34342
856	76389.29199
857	76357.20655
858	76328.83314
859	76326.03931
860	76294.65315
861	76273.69236
862	76250.82457
863	76247.64011
864	76222.19775
865	76188.76807
866	76185.07423
867	76142.41958
868	76124.56582
869	76113.98908
870	76091.81049
871	76076.11366
872	76041.28037
873	76007.82312
874	75958.32201
875	75950.6426
876	75941.48169
877	75924.44149
878	75906.0398
879	75852.53615
880	75814.45636
881	75797.66314
882	75787.41373
883	75785.93769
884	75758.74604
885	75753.94204
886	75741.50653
887	75716.08533
888	75685.13334
889	75651.19196
890	75635.9
891	75633.17037
892	75601.12164
893	75582.58647
894	75562.60018
895	75538.92568
896	75520.00824
897	75501.73266
898	75499.39405
899	75461.30037
900	75458.69676
901	75441.61837
902	75404.15985
903	75383.61765
904	75330.2629
905	75316.44407
906	75270.10969
907	75258.39094
908	75237.91122
909	75212.43858
910	75194.50987
911	75171.14132
912	75133.06566
913	75098.08
914	75076.19907
915	75055.29875
916	75051.19761
917	75034.08909
918	75010.69862
919	75004.76041
920	74976.56854
921	74975.45079
922	74962.62812
923	74917.4562
924	74872.17259
925	74823.82165
926	74792.56541
927	74754.66055
928	74735.66885
929	74732.16977
930	74725.28483
931	74719.37963
932	74694.32531
933	74663.49215
934	74646.99066
935	74643.27886
936	74609.92656
937	74585.49
938	74579.90765
939	74551.6044
940	74519.29387
941	74497.72993
942	74478.9257
943	74475.73931
944	74446.57098
945	74441.15882
946	74404.98171
947	74382.93997
948	74366.3655
949	74350.61166
950	74333.42659
951	74318.68466
952	74272.51554
953	74256.97557
954	74241.59091
955	74211.47663
956	74192.5573
957	74173.02704
958	74150.15855
959	74114.51048
960	74082.235
961	74042.23056
962	73998.33817
963	73971.7596
964	73926.65548
965	73899.65266
966	73884.85637
967	73854.27843
968	73837.25404
969	73793.76422
970	73779.19791
971	73759.09403
972	73741.25007
973	73704.23255
974	73680.01941
975	73672.36742
976	73664.23472
977	73632.94867
978	73599.83788
979	73553.76598
980	73541.87851
981	73530.53689
982	73481.39373
983	73430.04646
984	73398.28703
985	73385.06062
986	73380.64925
987	73358.84476
988	73350.6339
989	73343.45428
990	73332.96039
991	73314.61789
992	73302.62449
993	73285.18334
994	73225.54678
995	73177.19666
996	73130.38223
997	73104.47389
998	73075.38297
999	73045.74052
